day,unique_addresses,total_transactions,total_value_transferred,average_fee,total_size_used,coinbase_transactions
2023-11-01,463644,463644,841010.478894755,0.00004632648676572762,237635026,149
2023-11-02,403541,403541,841099.2868209454,0.000057211732017341753,234555053,144
2023-11-03,452354,452354,844764.9940456215,0.00007306847933254027,217390664,136
2023-11-04,698917,698917,620931.6840370666,0.0001137723900119901,283358568,168
2023-11-05,673375,673375,548298.5720355303,0.00010584287362914702,281071596,163
2023-11-06,439319,439319,779204.6619438448,0.00016944260286946532,212797563,127
2023-11-07,450371,450371,794109.703010182,0.0001955687636637149,211883359,133
2023-11-08,583201,583201,860092.4473474789,0.00020245225896396986,246402601,149
2023-11-09,573466,573466,1099687.9005161815,0.00043352298226923035,237881715,143
2023-11-10,523831,523831,842257.7705809281,0.0003123628599682275,249670963,154
2023-11-11,627529,627529,691936.282015236,0.00018229841686998987,265758598,160
2023-11-12,703327,703327,615510.886601939,0.00016461235786483498,279886581,161
2023-11-13,428507,428507,787410.0338638624,0.0002512264861951392,202263177,121
2023-11-14,523422,523422,940829.7244875837,0.00019371595043765963,226771494,138
2023-11-15,561942,561942,830435.4208069185,0.00023853626886764518,239791966,148
2023-11-16,628426,628426,870584.5927954916,0.0005051606345694767,248787011,148
2023-11-17,536644,536644,753044.6010329613,0.0004597657196391237,243147592,150
2023-11-18,629266,629266,489096.7764911398,0.0005034667951708059,251375215,149
2023-11-19,710579,710579,563125.2194791263,0.00028231357067976236,292575473,170
2023-11-20,640670,640670,935653.8674832486,0.0002773870387561759,285131386,166
2023-11-21,522593,522593,961211.3931711985,0.0003299779671367603,275377473,152
2023-11-22,535829,535829,926218.3601649583,0.00028675974307105747,237625221,142
2023-11-23,587706,587706,718858.5012906608,0.00037601235827096916,245579138,147
2023-11-24,623898,623898,893910.9051765219,0.00015676558772431998,294216566,168
2023-11-25,617234,617234,644465.7944051344,0.00014931888925432437,290722952,159
2023-11-26,578484,578484,673446.2799099239,0.00014026270085256359,266635538,146
2023-11-27,479487,479487,851459.6800969895,0.0001865561864450047,231441763,130
2023-11-28,447662,447662,818304.8082198052,0.00017604040499307055,252461628,147
2023-11-29,360588,360588,877558.2598999134,0.0001765488356517228,216139940,136
