day,unique_addresses,total_transactions,total_value_transferred,average_gas_price,total_gas_used,successful_transactions
2023-11-01,524681,1101380,1635704924163317883383576,30502115045.116253,107945356524,1079099
2023-11-02,515676,1045341,1567843901764557329651645,30074060483.940514,107597693913,1024653
2023-11-03,526444,1104674,1385222534600463035140946,26833119086.123257,107677024419,1083822
2023-11-04,477056,1013882,682695850725745263873116,20081868286.78928,107692112646,992174
2023-11-05,474092,1034459,919549473747055642904692,23092755495.10207,107653059068,1010030
2023-11-06,505836,1101645,1405507987153384637077869,34963340750.71507,107776634539,1073675
2023-11-07,521124,1055975,1636928437356271926319039,31764118197.931934,107902868960,1033356
2023-11-08,514659,1066274,1388866614130747420122349,36835194279.334274,107937804240,1041039
2023-11-09,567432,1125199,2214715223710252985779386,57102480374.99054,107941360503,1102622
2023-11-10,584208,1146191,2391459526090840394330785,44566249162.53525,107972463441,1122680
2023-11-11,528196,1107685,1024587788144781778477316,33766431270.85899,107895921915,1084477
2023-11-12,497116,1061494,1125486720769511482575766,32887947140.50855,107890578358,1035200
2023-11-13,486757,1088278,1443418797398073432229197,54342492133.299805,107858538606,1056709
2023-11-14,488623,1050000,1455388713157926530206633,42769074309.51195,108062171960,1023048
2023-11-15,513012,1075386,1544075659442433049997367,39406915228.956726,107844318514,1052869
2023-11-16,531954,1093005,1524460960304722157820992,39562673470.41334,108002812540,1070097
2023-11-17,509896,1084679,1405035688638982811703603,32579592055.7484,107938758996,1061740
2023-11-18,483678,1134614,1035890412264221140076873,27278257634.249264,107393638273,1113784
2023-11-19,484245,983460,937957919166584088477380,24844635282.464226,107813142128,962781
2023-11-20,569959,1151945,1305929540424847693933629,45131791880.60181,107964279468,1128009
2023-11-21,555864,1129495,1268902885926821298324527,45641080284.44478,107865462611,1110607
2023-11-22,565872,1142003,1755092301451740188825748,45161108096.54147,107838403023,1116768
2023-11-23,560355,1123339,1378340632361890710785141,37337252875.493,107864151826,1102046
2023-11-24,541866,1068410,1436313000108785395597485,33263276750.30133,107750826814,1047533
2023-11-25,499529,985612,746681824488365909773207,26140756115.17324,107936575620,966761
2023-11-26,489309,989613,721196919482431665048228,28528695134.516552,107778568328,970071
2023-11-27,499695,1077314,1452879595084870700586251,37580579846.17229,107702123594,1053823
2023-11-28,515432,1155016,1315619558271356557974008,46073858389.388695,107824735828,1129484
2023-11-29,519743,1151825,1197781490653031202032365,42539356165.92908,107940875890,1127844
2023-11-30,531579,1119717,1476730299978507441481703,51292428374.50216,107888214993,1093218
2023-12-01,547664,1119260,1631681067669231699920875,47902562692.3138,107863170034,1092493
2023-12-02,507867,1210135,775883565536974429046362,39046408863.6908,108073234725,1189750
2023-12-03,513342,1030989,857141205682580854909638,37558175913.89915,107731495784,1010877
2023-12-04,581132,1158630,1728275010758548580057862,52284180839.64923,107932894414,1137277
2023-12-05,573363,1197166,1524673423918507510406453,62249090971.83124,107825092919,1175064
2023-12-06,570736,1126986,1588019077173822725765559,61927988726.8838,107655420086,1106596
2023-12-07,598551,1159526,1417659718462856058785020,55535210756.989456,107619362929,1138160
2023-12-08,625803,1182465,1412774725036029066686293,47393303835.98157,107734640482,1165493
2023-12-09,597021,1120555,852222049984271714820518,38300260671.43734,107775026891,1104747
2023-12-10,571767,1129096,793035310848335533445650,38086143980.380806,108026932108,1111688
