day,total_transactions,successful_transactions
2023-11-01,38097190,18968420
2023-11-02,38705593,19510850
2023-11-03,35859116,19394335
2023-11-04,33920138,17676142
2023-11-05,32350398,17636531
2023-11-06,31841452,18722956
2023-11-07,32782893,19013171
2023-11-08,31219861,19627075
2023-11-09,39876822,19974791
2023-11-10,42836842,20124719
2023-11-11,43340059,19228693
2023-11-12,39634201,18676819
2023-11-13,40654804,19929131
2023-11-14,38659049,18861308
2023-11-15,40880793,19634587
2023-11-16,42263075,20507714
2023-11-17,39753457,20264119
2023-11-18,34175727,18809930
2023-11-19,33581468,17804738
2023-11-20,38739919,20044023
2023-11-21,40686873,20702244
2023-11-22,42078066,22252404
2023-11-23,37609115,21096344
2023-11-24,67858055,51625113
2023-11-25,36956818,20629337
2023-11-26,38656299,19721773
2023-11-27,41984003,21277497
2023-11-28,40459485,19845904
2023-11-29,44254824,21123028
2023-11-30,41994572,20181896
2023-12-01,42999425,20072051
2023-12-02,41034832,18706333
2023-12-03,44432492,18813767
2023-12-04,44778264,20544941
2023-12-05,45999704,22076504
2023-12-06,49484658,22739793
2023-12-07,48633949,21650131
2023-12-08,55363668,23168933
2023-12-09,52376207,22519950
2023-12-10,50089716,22435336
2023-12-11,52838185,22977701
2023-12-12,55160335,24145894
2023-12-13,54553691,23538712
2023-12-14,57008303,25757146
2023-12-15,56974161,25798896
2023-12-16,60385486,25488305
2023-12-17,58508264,24655819
2023-12-18,61918338,22971661
2023-12-19,63250759,25874172
2023-12-20,57939586,25921240
2023-12-21,54629140,24786841
2023-12-22,58415851,26796442
2023-12-23,65199445,23834861
2023-12-24,60235879,24158535
2023-12-25,60162184,23594321
2023-12-26,58093926,23101060
2023-12-27,58651452,24065178
2023-12-28,58592129,24722774
2023-12-29,60815600,24563943
2023-12-30,60366047,24634554
2023-12-31,57333527,23712282
2024-01-01,55090701,23221553
2024-01-02,59688609,24951066
2024-01-03,57514896,25158286
2024-01-04,58005101,25352469
2024-01-05,59458928,24877773
2024-01-06,58833455,24099266
2024-01-07,61024413,24451824
2024-01-08,57606458,24315264
2024-01-09,55685157,23683078
2024-01-10,52236107,22824697
2024-01-11,52404208,23046719
2024-01-12,49424643,21296705
2024-01-13,51966768,22779252
2024-01-14,49191692,20874234
2024-01-15,54590529,22825284
2024-01-16,58892829,22760834
2024-01-17,56361297,22574538
2024-01-18,56966303,22295304
2024-01-19,59565948,23885284
2024-01-20,62772161,22877062
2024-01-21,62191753,23550993
2024-01-22,59534497,23424862
2024-01-23,63040161,24345761
2024-01-24,77512337,27877859
2024-01-25,74655136,27404586
2024-01-26,72909305,26390418
2024-01-27,69277628,26553299
2024-01-28,68679302,25179992
2024-01-29,68328539,25600076
2024-01-30,70606381,26377355
2024-01-31,64281795,25945792
2024-02-01,67849794,24926592
2024-02-02,72816510,28645191
2024-02-03,82863114,32708025
2024-02-04,79332507,27131364
2024-02-05,79705724,30905558
2024-02-06,64399227,22180462
2024-02-07,83536172,30131717
2024-02-08,80738889,31234795
2024-02-09,77721348,29838207
2024-02-10,75194970,29566832
2024-02-11,80764852,29010042
2024-02-12,77782236,28321709
2024-02-13,80844113,29205101
2024-02-14,86140686,30752840
2024-02-15,83453724,29656681
2024-02-16,79911730,30948430
2024-02-17,75732977,29001098
2024-02-18,73896365,28856978
2024-02-19,78853684,30145173
2024-02-20,76622132,31750543
2024-02-21,76944581,32307357
2024-02-22,82806160,32452576
2024-02-23,75180222,31825837
2024-02-24,69283708,31318067
2024-02-25,62687350,28153345
2024-02-26,64841810,33742831
2024-02-27,65233597,30672565
2024-02-28,61172965,29495556
2024-02-29,59450191,28576348
2024-03-01,57835460,27997853
2024-03-02,62635383,28405230
2024-03-03,59348607,26290900
2024-03-04,52076010,23947393
2024-03-05,45615851,21077595
2024-03-06,50723439,22775383
2024-03-07,52727221,24130230
2024-03-08,55634274,25864736
2024-03-09,68944895,25464430
2024-03-10,77597366,25153574
2024-03-11,81263769,24246774
2024-03-12,79737377,24874120
2024-03-13,85748281,23753926
2024-03-14,83470630,24078294
2024-03-15,88087387,24718113
2024-03-16,84722373,23364591
2024-03-17,83306483,23805928
2024-03-18,81680237,26540712
2024-03-19,75267940,23432698
2024-03-20,72913518,24702219
2024-03-21,78069620,24984831
2024-03-22,77341275,26879367
2024-03-23,75985819,25982584
2024-03-24,78788903,26567572
2024-03-25,79589300,28175220
2024-03-26,79173145,27780078
2024-03-27,80738241,27967327
2024-03-28,80996891,29211087
2024-03-29,82656219,28071533
2024-03-30,81014803,25035650
2024-03-31,79242048,23390406
2024-04-01,78248000,22851059
2024-04-02,76759673,23620550
2024-04-03,78996573,22589251
2024-04-04,82049062,20140982
2024-04-05,87637975,21314442
2024-04-06,91035748,25686077
2024-04-07,87189491,27613643
2024-04-08,83877708,29339462
2024-04-09,89472348,36447597
2024-04-10,87230139,37260626
2024-04-11,85150583,39435186
2024-04-12,78013237,37718118
2024-04-13,71059764,30328281
2024-04-14,72503791,29836349
2024-04-15,75928403,30477756
2024-04-16,69025087,26302225
2024-04-17,71348862,21949195
2024-04-18,71066479,20185390
2024-04-19,66632434,18508111
2024-04-20,70329823,20629319
2024-04-21,71408820,22947127
2024-04-22,70818659,21781624
2024-04-23,72083341,23682657
2024-04-24,79991240,31233215
2024-04-25,81703771,31958158
2024-04-26,79928333,30765956
2024-04-27,75477921,28300765
2024-04-28,70436580,25578789
2024-04-29,71674131,24550651
2024-04-30,73925834,26574089
2024-05-01,72480633,27397392
2024-05-02,72043552,25921983
2024-05-03,71999112,27880333
2024-05-04,74224902,27576513
2024-05-05,74057326,28620134
2024-05-06,73958236,29295131
2024-05-07,75634275,27972135
2024-05-08,76586146,29556892
2024-05-09,76742879,30281164
2024-05-10,78434362,31517317
2024-05-11,81385887,31370464
2024-05-12,79350180,30514025
2024-05-13,73503917,28182700
2024-05-14,72106766,26167765
2024-05-15,73383807,27342274
2024-05-16,73098752,28555969
2024-05-17,74745396,30333679
2024-05-18,74809947,31170232
2024-05-19,75126555,33399074
2024-05-20,71281804,28915719
2024-05-21,76530712,32269859
2024-05-22,76992358,30660805
2024-05-23,77350969,30821947
2024-05-24,77976199,31984719
2024-05-25,73668441,32131583
2024-05-26,73614293,30765637
2024-05-27,72140809,30746650
2024-05-28,73720155,33274936
2024-05-29,56372710,30027069
2024-05-30,58262867,31250298
2024-05-31,57809722,30817360
2024-06-01,57212450,32843861
2024-06-02,54942396,31162451
2024-06-03,55517474,30438325
2024-06-04,58842079,33230535
2024-06-05,59100284,33894745
2024-06-06,59964257,33978254
2024-06-07,57087841,32485058
2024-06-08,55080109,32774773
2024-06-09,55851286,30990036
2024-06-10,60351851,35107349
2024-06-11,57655465,33976594
2024-06-12,55634752,36495161
2024-06-13,59404678,38414510
2024-06-14,58930070,37844424
2024-06-15,60072913,38222279
2024-06-16,59705711,38858598
2024-06-17,59771241,38562716
2024-06-18,53176901,35493699
2024-06-19,57782877,37569377
2024-06-20,57776136,36968781
2024-06-21,61635779,37439808
2024-06-22,61863257,37167419
2024-06-23,63216862,38528084
2024-06-24,60815133,38962048
2024-06-25,61510444,38945121
2024-06-26,68202253,41944088
2024-06-27,63238365,39366318
2024-06-28,64020433,43207830
2024-06-29,67078294,43682570
2024-06-30,64658361,43933409
2024-07-01,65198263,42561751
