Address,Name Tag,Balance,Percentage,Txn Count
0x0b7bb342f01bc9888e6a9af4a887cbf4c2dd2caf,,"16,000 ETH",0.01308523%,2
0xde9363fa15552ddb89d5d34376c36c0fcf914d35,,"16,000 ETH",0.01308523%,2
0x971c785796fedb5aa2bae0395d055efdb8a38058,,"15,999.994 ETH",0.01308523%,3
0x4b95059fe81b1268648c52976c034b9be117d4d7,,"15,999.894132 ETH",0.01308515%,4
0x93a654a2813f3ad052929752124b51d68bb9fa8f,,"15,947.38509904 ETH",0.01304220%,1
0xdeb294797d166d580675dc5aaef1a25378ccb626,,"15,929.90830543 ETH",0.01302791%,1
0xd404316d5bb0641853edaae62a92ccb6f2d820bc,,"15,928.67987537 ETH",0.01302691%,1
0xeb3b9f824c8551a58a427aeaaa1044866bb5e28e,,"15,924.11695912 ETH",0.01302318%,181
0xfc6772aa0821b06559ccd746deed5d0f95afc13d,,"15,917.6 ETH",0.01301785%,17
0x8936424b558a95fbdec5938b1dd95a11e40a4532,,"15,898.06288024 ETH",0.01300187%,4
0x24a52ece417147f1a7ad7f11ad572900ab8047b6,,"15,896.88328431 ETH",0.01300090%,5
0x47895e5009fd609f0027ea896bb5c38869082223,,"15,849.28359344 ETH",0.01296197%,7
0x4735f8576b62921e06253e87ca0ae0201d5b11e3,,"15,840.16285815 ETH",0.01295452%,18
0xca2dd8f07407ee31201e03876f65f1f0e69ef103,,"15,823.69186272 ETH",0.01294105%,6
0x36eed1a4dd70f0731dd20ef76c32345185a8a042,,"15,810.2096069 ETH",0.01293002%,72
0x7e06c843245d1b9d45c3d4c327b49b81f5616e67,,"15,800.00004829 ETH",0.01292167%,17
0xf9ad8f6cde350a9731ef7c77fc588ce88def56db,,"15,798.11470399 ETH",0.01292013%,1
0x9c7e1966808a95a3bda73619f76c35fabc46fe6d,,"15,795.22851346 ETH",0.01291777%,3
0x500140ce79ef3b75fc2dbd9690aa32e9da4296d6,,"15,790.16452846 ETH",0.01291363%,1
0x1271892c3724cff1416dc14c2b4e27a368cffeb4,,"15,783.91569826 ETH",0.01290852%,3
0xa318690a8fe1a02e6fa568ce84125c9d82823b05,,"15,775.07948 ETH",0.01290129%,18
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,EtherDelta 2,"15,747.80878776 ETH",0.01287899%,"11,548,162"
0x3e3586b5be868daa72dbec2ebd0d3340466253bb,,"15,734.948803 ETH",0.01286847%,7
0xef414ba7709e6cf9bbc93ba4fcb9a53f372bf54c,,"15,733.2167321 ETH",0.01286705%,20
0xc7a7fd11c1575d5a965e4ebe670481d8b58f27c0,,"15,695.94074734 ETH",0.01283657%,1
0x4d22e4f9f2bc8a0697279ce83dd1d23f1136b707,,"15,694 ETH",0.01283498%,1
0x600109d669ecc3110a83f72086ca188fde39795f,,"15,649.55422696 ETH",0.01279863%,1
0x278ad2617a315a184dec06b7d57d9fa84034cadb,,"15,611.99092589 ETH",0.01276791%,3
0xf820502be44549169a4bc136afafd714d1d25708,,"15,602.41915702 ETH",0.01276008%,2
0xcc87ff23c187a9b320d52d284c7a105f781e4b57,,"15,591.61974061 ETH",0.01275125%,1
0x220c575a00a9f62b6aae2ea2a484971c5fa3cdb0,,"15,523.14700094 ETH",0.01269525%,2
0x124a443d6a09c1cf5a5238af6a49e2d03a7d5dad,,"15,500 ETH",0.01267632%,1
0xfe7c9c176d4d3ee940af666091a08322329d72fa,,"15,465.386759 ETH",0.01264801%,2
0x5ee84d30c7ee57f63f71c92247ff31f95e26916b,,"15,435.9771217 ETH",0.01262396%,"2,856"
0xb9786dc15b3e2e4994328834c801266479900328,,"15,405.29853466 ETH",0.01259887%,1
0x7047e704228cef3cff0295ca09da1b5bab3d7402,,"15,403.86452274 ETH",0.01259770%,1
0x80505508d1fc8e8c1a12a964c4cd206058d04e5c,,"15,402.05475643 ETH",0.01259622%,2
0x695483e6f68a939fedda945499c9e3ee557c1c3a,,"15,390.98640465 ETH",0.01258717%,1
0x7c367fb44b37f4b83ff41f6a0e5e459d59aae415,,"15,287.26947622 ETH",0.01250234%,1
0x6a9a05415f78eef19de272e0677f42c954ddecb4,,"15,229.55025015 ETH",0.01245514%,1
0xf38356f7c5e47926c0417bf2763b5c44a00336b7,,"15,179.60050376 ETH",0.01241429%,4
0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4,WazirX 2,"15,155.88789001 ETH",0.01239490%,"27,227"
0xeb3d5ddcdf38b898879c8a76a2e8cc3fd12a52dd,,"15,098.29075478 ETH",0.01234779%,1
0xaa499f3416f92424ce0dbfc4123b62a5481627bc,,"15,001 ETH",0.01226823%,2
0xf476a4c7ae500414c3909cedf56ed63104902176,,"15,001 ETH",0.01226823%,2
0xa19964d5f49488eb6cb4a5381826f3da58c281b1,,"15,000.1 ETH",0.01226749%,12
0xd11fd269ac6b602e42abb6f0f186cd5b27180ffd,,"15,000.0050527 ETH",0.01226741%,21
0x11133bcf0ecbe48e74a4d787bb047aa5bc2c5cab,,"15,000.0048427 ETH",0.01226741%,21
0x99072e1422377d808d5599a78aa7e772b988c0fb,,"15,000.0048427 ETH",0.01226741%,18
0x44b53564b95530a0bc708900089e685eef12fa6e,,"15,000.004839 ETH",0.01226741%,25
0xc0c847b14965df7e7eaa003ea987c6187211d85f,,"15,000.004619 ETH",0.01226741%,21
0x52da49c343df2d1880ec79df9c89a962afc8691d,,"15,000.00441037 ETH",0.01226741%,18
0xa60c073eaa1bdc3f56af8a9292b9a1e6d3c7e5b7,,"15,000.0003234 ETH",0.01226741%,6
0x35c9bbd1e0ddeadca4118a2378e9b0d1959b79f1,,"15,000.0003 ETH",0.01226741%,8
0xb1e52e319b83dd3bedbae9878b63f67b535de2be,,"15,000.0003 ETH",0.01226741%,7
0x85d2ca2f020673712e4d3f641f33f6c09cd9d983,,"14,998.99790165 ETH",0.01226659%,1
0xee136c0389733849dd710ac7104e92c6bf497574, MEXC 4,"14,963.6 ETH",0.01223764%,6
0x41f546d659dee7a37186ffc86bc918e8dd1d3c51,,"14,944.834659 ETH",0.01222229%,2
0x5d8a8f2d93948b11009bd81828a1452079983a4c,,"14,941.77151639 ETH",0.01221979%,3
0x7f74aafd223f2462e52de66f36e98498fd141c6e,,"14,940.49394465 ETH",0.01221874%,1
0xf965a1210b41d72c5faca937d8f3834a8816db4f,,"14,936.81888819 ETH",0.01221574%,139
0x58bae5c59f73f764148b127873a211eae1111a1b,,"14,900.004 ETH",0.01218563%,2
0xb985e3660a2808377e72d514e43fbdda1e689083,,"14,864.57557007 ETH",0.01215665%,40
0x056f59ab533fcd15883c4410d9ba9836c3bb7fa8,,"14,842.95232673 ETH",0.01213897%,6
0xff8a34f749b97e19f9821615731be346e65aedd3,,"14,765.9549987 ETH",0.01207600%,1
0xadec0cdc6adabe44f461b48358d4a8d3a7d62a95,,"14,657.23 ETH",0.01198708%,51
0x4fa0d17790939c67f8e8e31146cdc0d9f031f955,,"14,656.6685045 ETH",0.01198662%,14
0x77179080c8f265a93e25ae29b99446c5eb2d4558,,"14,644.21515806 ETH",0.01197644%,21
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,"14,516.54625789 ETH",0.01187203%,"5,542,236"
0x32fac51beffb058486ecff26ea6be364efb68aac,,"14,500.00595696 ETH",0.01185850%,4
0x3ac33007a231851aadce52291fd4858e11a10ca3,,"14,455.972 ETH",0.01182249%,8
0x7d0523795e35c67b14b5edce151266a5c0ff2d65,,"14,400 ETH",0.01177671%,1
0xb5761aa4d4f88eeab67a90955a15017181975565,,"14,400 ETH",0.01177671%,1
0x3d458cb4144dab393ad1d9f90a94bc00cd49dea3,,"14,399.996 ETH",0.01177671%,3
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,Lido: stETH Token,"14,382.83155562 ETH",0.01176267%,"1,020,584"
0x99f85310da212afb643c934f37ed512e66bf6de5,,"14,312.92540904 ETH",0.01170550%,1
0xc2b6aabfec71ff4a578b873eb2718a31bc4c4212,,"14,300 ETH",0.01169493%,1
0xe355f1d3bac35fca6789570dfea7648ac6a403d5,,"14,300 ETH",0.01169493%,1
0xb8da92df100b290359a2ddf3627d5d1ecdc978b1,,"14,251.285 ETH",0.01165509%,1
0xaec27ce2133e82d052520afb5c576d9f7eb93ed2,,"14,250.07791735 ETH",0.01165410%,109
0x8e279e54b04327adf57117c19bc3950d7109407c,,"14,183.08165872 ETH",0.01159931%,316
0xb9711550ec6dc977f26b73809a2d6791c0f0e9c8,Cobo Custody 3,"14,172.06042097 ETH",0.01159030%,"1,453"
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,Jump Trading,"14,136.39147297 ETH",0.01156112%,"108,996"
0xbd02c51150a4ab6ce97b9de2025644594f3e75b8,,"14,134.22889576 ETH",0.01155936%,"13,258"
0x183f28a5bdbd8e5c5ffa54e6b20d25f153b6379d,,"14,126.70842428 ETH",0.01155321%,111
0xc1ebd02f738644983b6c4b2d440b8e77dde276bd,Arbitrum Nova: Bridge,"14,115.82578518 ETH",0.01154431%,0
0xfc4e81199aa57a67a095a3bfb53520461b63b087,,"14,070.38426256 ETH",0.01150714%,1
0xabcdebb0d9c509460eb58ad134b4f57191f640b2,,"14,023.80620929 ETH",0.01146905%,46
0x86a68905cd1504057b00eebe41e94c1b04ee589e,,"14,001.495569 ETH",0.01145080%,4
0x113612bc3ba0ee4898b49dd20233905f2f458f62,,"14,000 ETH",0.01144958%,2
0x21a6db6527467bc6dad54bc16e9fe2953b6794ed,,"14,000 ETH",0.01144958%,2
