blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,input,contractAddress,cumulativeGasUsed,gasUsed,confirmations,methodId,functionName
16308930,1672540139,0x205295d62f44e5a2e2ccefbe7f666809f1b00926ad12857ad60062aa2eb03600,45,0x0c31e4ebd5e8554b64f6532d2c390e540d551bed3bedd5cebf1a50dcb70e1e2d,78,0x5a029096962d988ca694d8077cc1bdacd373953e,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0,242020,13512845544,0,1,0xdb006a750000000000000000000000000000000000000000000000000000000d739ef493,,8998994,193098,3824723,0xdb006a75,redeem(uint256 tokens)
16309140,1672542659,0xa24597a108b6c0e3987d7c5ea1f7661b295f9c6dea529defa9284a45b158c8af,3,0x89b3309eeb36b7e460df802d76af2769430501ea9db845417126b7eacb927f56,132,0xa12efa693507fc4a5d1f716fe4a404f59b45c439,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0,49192,17174247214,0,1,0x095ea7b3000000000000000000000000e66b31678d6c16e9ebf358268a790b763c133750ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,9872478,46408,3824513,0x095ea7b3,"approve(address _spender, uint256 _value)"
16309176,1672543091,0x7574a10325b5809c51941c9a5d607f6a75f92fe14e94897fe6aa04ec619d5f15,4,0x281a7813051dae0df7d0972a753f306f5af93d7cc9040f1e45cd62f0be2d31dc,45,0x73d7a85fb32ca1863b6884bad84f5a4ab45c0e4b,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0,49192,14788277856,0,1,0x095ea7b3000000000000000000000000e66b31678d6c16e9ebf358268a790b763c133750ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,4124107,46408,3824477,0x095ea7b3,"approve(address _spender, uint256 _value)"
16309180,1672543139,0x73a1d350a81f45f408c92f13a6c28b4fbf22a0cb66983a2bb3b654e9744e0d27,2,0x01743915ca9d115e75318b03f0308ef79945b60649df3ffe8c5e8751b1015661,18,0xe59c321da963df04d4569b74ec84f745b30c807a,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0,51049,17252055446,0,1,0x095ea7b30000000000000000000000004c0767322bbbc15ab503921f35cfb0f8f5c465d2ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,2010762,46408,3824473,0x095ea7b3,"approve(address _spender, uint256 _value)"
16309303,1672544615,0xb46d16463ecae847c30cb0a05cac45747b4cdf383f7349645f75c0e51cf212b4,78,0xe867a5d63c171a9f8548a4bd654e75782de2b131d9844e99de50a338d4f23d9c,100,0xf16c3df309cf1c839358d995c29e2950c021cf66,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,36063956181753052,162020,13708447260,0,1,0x1249c58b,,11120491,128362,3824350,0x1249c58b,mint()
16309339,1672545047,0x3f34f154db05c36f79977859a13ea8aafd616c92704a17400bd92bb804a061ff,452,0x4315747ded100c84f95e60e914f11a872b7bacefed3f827056ba886312172822,74,0x87d48aa20cb1b8d6972b1c94475161c8ad1334dd,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0,312020,13622826183,0,1,0xc5ebeaec00000000000000000000000000000000000000000000000053444835ec580000,,7533043,253039,3824314,0xc5ebeaec,borrow(uint256 borrowAmount)
16309820,1672550831,0xa427cf4958dac84dacecae0aacedbbba1251dbbc794f9dcbd47ff67f7d47935b,5,0x51f50a7a58682ad63fc4306135eca49ca93c96662bd874c08d508c843bb390c7,26,0x677c98916b1a6190145af44d6318c1d58b189741,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0,69612,16442459316,0,1,0x095ea7b300000000000000000000000040aa958dd87fc8305b97f2ba922cddca374bcd7fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,2354639,46408,3823833,0x095ea7b3,"approve(address _spender, uint256 _value)"
16310420,1672558043,0x9d87dea40306e38fa09495b923698a6abf039e6147b137c7c65eb47937fd0e23,223,0xf7e9aa626713b1608cbd2c7794c774c5e2db86db22a7eec2c803825bb121f842,73,0xe4bfde90e04edac56dec9a27755b0ef860774f9a,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,100000000000000,192020,13836355511,0,1,0x1249c58b,,5641081,159732,3823233,0x1249c58b,mint()
16310784,1672562423,0x12d9ba5f9cc10c3d13e5fb29bc806d8fe4f0b5abea1baf22a4c060bcc5701505,1614,0x93fe2821af5fe6db4dd8d405e12a08a017b557a24ac26d50eb2f79e571f21b37,32,0x4cae5bed586f6e73ae54ebd40a4ac4ed2c477c34,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0,46408,14304700319,0,1,0x095ea7b30000000000000000000000003b6f1fe07cdab8a43f39c3b99ba8ff26e28db8b4ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,2564870,46408,3822869,0x095ea7b3,"approve(address _spender, uint256 _value)"
16310841,1672563119,0xb1c9b8e88b12fb58f0e32195c0ce00ed43c608bced7775f7d9b9edd5d1171919,494,0x9a349dd7df5e75b7f12daf35e9755e547cdd5527aa19e531b947206cc71d536b,90,0xbdc4d451dcab410dca2699fce2f25cf20f7ab61d,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,100000000000000,182020,14700887814,0,1,0x1249c58b,,8376062,145462,3822812,0x1249c58b,mint()
16310851,1672563239,0x85db952f566134fcc030156d3d9c2d62fa48bbb3d60f9d643ba30b2b7d4c7726,495,0x99559ce43a73893beee4367037069e2a6a1c6f70ef99943d9ff1843ecd10c260,108,0xbdc4d451dcab410dca2699fce2f25cf20f7ab61d,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,100000000000000,162020,13080858873,0,1,0x1249c58b,,10051181,128362,3822802,0x1249c58b,mint()
16310854,1672563275,0xbf64ed2b46086d42ccc77cd84b844fe7fe10d5a9c8ad30930d9eb22b5663a9f9,496,0xf2379ce27e3be332c97b5155955fc2c917ddcf90abb58948ca5370346f064334,104,0xbdc4d451dcab410dca2699fce2f25cf20f7ab61d,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,100000000000000,162020,13779509438,0,1,0x1249c58b,,10042580,128362,3822799,0x1249c58b,mint()
